Sample,Time,X.center,Y.center,,, 
2594,103.72,177.1199588,15.74689587,,,
2595,103.76,177.1151107,15.75118165,,,
2596,103.8,177.1151107,15.75118165,,,
2597,103.84,177.1102624,15.75546747,,,
2598,103.88,177.1102624,15.75546747,,,
2599,103.92,177.105414,15.75975335,,,
2600,103.96,177.1005655,15.76403927,,,
2601,104,177.1005655,15.76403927,,,
2602,104.04,177.0957169,15.76832525,,,
2603,104.08,177.0957169,15.76832525,,,
2604,104.12,177.0908681,15.77261127,,,
2605,104.16,177.0860192,15.77689734,,,
2606,104.2,177.0860192,15.77689734,,,
2607,104.24,177.0811702,15.78118347,,,
2608,104.28,177.0811702,15.78118347,,,
2609,104.32,177.0763211,15.78546964,,,
2610,104.36,177.0714718,15.78975586,,,
2611,104.4,177.0714718,15.78975586,,,
2612,104.44,177.0666225,15.79404213,,,
2613,104.48,177.0666225,15.79404213,,,
2614,104.52,177.061773,15.79832845,,,
2615,104.56,177.0569234,15.80261482,,,
2616,104.6,177.0569234,15.80261482,,,
2617,104.64,177.0520737,15.80690124,,,
2618,104.68,177.0520737,15.80690124,,,
2619,104.72,177.0472238,15.81118771,,,
2620,104.76,177.0423738,15.81547423,,,
2621,104.8,177.0423738,15.81547423,,,
2622,104.84,177.0375237,15.8197608,,,
2623,104.88,177.0375237,15.8197608,,,
2624,104.92,177.0326735,15.82404742,,,
2625,104.96,177.0278232,15.82833409,,,
2626,105,177.0278232,15.82833409,,,
2627,105.04,177.0229727,15.83262081,,,
2628,105.08,177.0229727,15.83262081,,,
2629,105.12,177.0181221,15.83690757,,,
2630,105.16,177.0132714,15.84119439,,,
2631,105.2,177.0132714,15.84119439,,,
2632,105.24,177.0084206,15.84548126,,,
2633,105.28,177.0084206,15.84548126,,,
2634,105.32,177.0035697,15.84976818,,,
2635,105.36,176.9987186,15.85405514,,,
2636,105.4,176.9987186,15.85405514,,,
2637,105.44,176.9938674,15.85834216,,,
2638,105.48,176.9938674,15.85834216,,,
2639,105.52,176.9890161,15.86262923,,,
2640,105.56,176.9841647,15.86691634,,,
2641,105.6,176.9841647,15.86691634,,,
2642,105.64,176.9793131,15.87120351,,,
2643,105.68,176.9793131,15.87120351,,,
2644,105.72,176.9744615,15.87549072,,,
